id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,upsell_flag
JMAN_2457215,2023-02-03,1,0,0,0,0,1,0,0,0,17,1,0,4,0,"Retail, Wholesale & Distribution",100 - 249,0,100,50,,,,,0,10,0,0,11.0,0,132,20520.48,20917.92,0.0,397.44,0.0,0.0,0.0,1,1,1,100,100,0,10.0,0.0,10.0,10.0,0,1,1.0,1.0,0,0,1
JMAN_2457657,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Consumer Services,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,26,399.0,277.8,-133.08,11.88,-133.0,0.0,0.0,0,0,0,100,100,0,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0,1
JMAN_2457731,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Education,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,2,129.84,132.36,0.0,2.52,0.0,0.0,0.0,0,0,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_2458020,2023-02-03,1,0,0,0,0,1,0,0,0,17,1,0,4,0,Financial Services,50 - 99,0,100,50,,,,,0,0,0,0,20.0,0,91,26952.0,35921.4,7641.12,1328.28,0.0,0.0,0.0,1,1,0,100,100,0,24.0,0.0,21.0,24.0,0,1,0.875,0.875,0,0,1
JMAN_2458057,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,14.0,0,0,649.44,661.92,0.0,12.48,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_2458137,2023-02-03,0,1,0,0,0,1,0,0,0,17,1,0,2,0,"Retail, Wholesale & Distribution",Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,26,1974.12,2012.4,0.0,38.28,0.0,0.0,0.0,1,0,0,100,100,0,8.0,0.0,8.0,8.0,0,1,1.0,1.0,0,0,1
JMAN_2459119,2023-01-20,0,1,0,0,0,0,0,0,1,16,1,0,2,0,Education,Oct-49,0,100,25,,,,,0,8,0,0,10.0,0,187,14388.0,18312.0,3924.0,0.0,3924.0,0.0,0.0,1,1,0,100,100,0,10.0,0.1,7.0,7.0,0,1,1.0,1.0,0,0,1
JMAN_2459119,2023-01-27,0,1,0,0,0,0,0,0,1,17,1,0,2,0,Education,Oct-49,0,100,25,,,,,0,8,0,0,10.0,0,211,17004.0,23352.0,6348.0,0.0,1308.0,0.0,0.0,1,1,0,100,100,0,12.0,0.272727273,7.0,7.0,0,1,0.916666667,1.0,0,1,1
JMAN_2459144,2023-03-24,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Financial Services,Oct-49,0,0,0,,,,,0,0,0,0,21.0,0,40,4560.0,4560.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,20.0,0.0,17.0,18.0,0,1,0.9,0.944444444,0,1,1
JMAN_2460628,2023-02-03,0,1,0,0,0,1,0,0,0,16,1,0,1,0,Consumer Services,Oct-49,0,100,33,,,,,0,0,0,0,20.0,87,81,6428.88,6553.44,0.0,124.56,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.25,4.0,5.0,0,1,0.8,0.8,0,0,1
JMAN_2460735,2023-02-03,0,1,0,0,0,1,0,0,0,17,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,158,6493.8,6619.56,0.0,125.76,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.25,4.0,4.0,0,1,1.0,1.0,0,0,1
JMAN_2461549,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Financial Services,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,99,5363.88,4686.72,-767.88,90.72,-767.88,0.0,0.0,1,1,0,100,100,0,7.0,0.142857143,7.0,7.0,0,1,1.0,1.0,0,0,1
JMAN_2461723,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,6,0,Corporate Services,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,0,1324.68,1350.48,0.0,25.8,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0,1
JMAN_2461772,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Travel & Hospitality,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,7,129.84,132.36,0.0,2.52,0.0,0.0,0.0,0,0,0,100,100,0,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0,1
JMAN_2461858,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,6,0,Education,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,4,990.0,1033.92,0.0,43.92,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.5,2.0,2.0,1,0,1.0,1.0,0,0,1
JMAN_2462569,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,2,1623.48,1654.92,0.0,31.44,0.0,0.0,0.0,1,0,0,100,100,0,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0,1
JMAN_2462757,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Technology,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,64.92,66.24,0.0,1.32,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2463072,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,14.0,0,4,1259.76,,-1259.76,0.0,0.0,-1259.76,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2463786,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,2,0,Consumer Services,Oct-49,0,0,0,,,,,0,9,1,1,0.0,0,0,1507.2,1851.48,272.88,71.4,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2463960,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,221.64,231.48,0.0,9.84,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2464018,2023-02-03,0,1,0,0,0,1,0,0,0,17,1,0,4,0,"Retail, Wholesale & Distribution",Oct-49,0,0,0,,,,,0,9,1,1,0.0,0,180,2155.92,2197.8,0.0,41.88,0.0,0.0,0.0,1,0,0,100,100,0,8.0,0.25,8.0,8.0,0,1,1.0,1.0,0,0,1
JMAN_2464269,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,10,0,0,11.0,0,217,4639.68,,-4640.28,0.6,-1329.84,-2778.48,0.0,1,1,0,100,100,0,3.0,0.5,2.0,3.0,0,0,0.666666667,0.666666667,0,0,1
JMAN_2465336,2023-02-03,0,1,0,0,1,1,0,0,0,17,0,0,6,0,Financial Services,1000 - 4999,0,0,0,,,,,0,0,0,0,20.0,0,0,1259.76,1284.12,0.0,24.36,0.0,0.0,0.0,1,1,1,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2466569,2023-02-03,0,1,1,0,0,1,0,0,0,17,1,0,3,0,Technology,Oct-49,0,100,33,,,,,0,0,0,0,14.0,0,118,17407.56,17744.88,0.0,337.32,0.0,0.0,-828.0,1,1,1,100,100,0,21.0,0.0,21.0,21.0,0,1,1.0,1.0,0,0,1
